1,2,3,4,5,6,보너스,합계,최소값,최대값,평균값
13,25,27,34,38,41,10,178,,,
12,24,33,38,40,42,30,189,,,
8,10,18,30,32,34,27,132,,,
12,15,20,24,30,38,29,139,,,
6,14,19,21,23,31,13,114,,,
3,10,20,26,35,43,36,137,,,
3,7,13,27,40,41,36,131,,,
2,7,8,9,17,33,34,76,,,
1,11,12,14,26,35,6,99,,,
13,20,21,30,39,45,32,168,,,
11,13,23,35,43,45,17,170,,,
4,6,10,19,20,44,14,103,,,
25,27,29,36,38,40,41,195,,,
1,23,28,30,34,35,9,151,,,
10,22,28,34,36,44,2,174,,,
17,20,30,31,37,40,25,175,,,
6,12,20,26,29,38,45,131,,,
11,16,29,38,41,44,21,179,,,
9,14,20,22,33,34,28,132,,,
8,16,26,30,38,45,42,163,,,
3,13,20,24,33,37,35,130,,,
19,23,29,33,35,43,27,182,,,
2,3,5,11,27,39,33,87,,,
18,22,25,31,38,45,6,179,,,
1,3,16,18,30,34,44,102,,,
3,23,28,34,39,42,16,169,,,
12,16,19,22,37,40,8,146,,,
6,7,15,24,28,30,21,110,,,
4,17,18,27,39,43,19,148,,,
8,10,14,27,33,38,3,130,,,
10,11,26,31,34,44,30,156,,,
1,17,27,28,29,40,5,142,,,
8,15,19,21,34,44,12,141,,,
6,11,26,27,28,44,30,142,,,
4,9,10,29,31,34,27,117,,,
2,11,13,14,28,30,7,98,,,
11,13,15,26,28,34,31,127,,,
4,5,14,20,22,43,44,108,,,
5,6,8,11,22,26,44,78,,,
7,17,20,26,30,40,24,140,,,
2,14,15,22,23,44,43,120,,,
2,9,15,23,34,40,3,123,,,
4,7,39,41,42,45,40,178,,,
11,14,22,35,37,39,5,158,,,
1,3,18,32,40,41,16,135,,,
6,9,21,31,32,40,38,139,,,
9,20,21,22,30,37,16,139,,,
6,7,13,16,24,25,1,91,,,
7,12,21,24,27,36,45,127,,,
1,2,10,25,26,44,4,108,,,
5,20,21,24,33,40,36,143,,,
10,14,22,24,28,37,26,135,,,
5,9,15,19,22,36,32,106,,,
6,12,18,31,38,43,9,148,,,
9,21,27,34,41,43,2,175,,,
1,2,9,17,19,42,20,90,,,
10,15,20,23,42,44,7,154,,,
12,13,17,22,25,33,8,122,,,
18,20,31,34,40,45,30,188,,,
11,15,20,26,31,35,7,138,,,
1,13,20,22,25,28,15,109,,,
9,16,28,40,41,43,21,177,,,
1,3,7,8,24,42,43,85,,,
10,11,18,22,28,39,30,128,,,
16,17,28,37,39,40,15,177,,,
7,16,18,20,23,26,3,110,,,
1,8,9,17,29,32,45,96,,,
1,26,31,34,40,43,20,175,,,
4,7,10,19,31,40,26,111,,,
7,12,19,21,29,32,9,120,,,
11,22,24,32,36,38,7,163,,,
4,15,28,33,37,40,25,157,,,
10,15,22,24,27,42,19,140,,,
1,5,10,12,16,20,11,64,,,
1,2,8,17,26,37,27,91,,,
6,10,22,31,35,40,19,144,,,
5,22,29,31,34,39,43,160,,,
6,22,29,37,43,45,23,182,,,
1,11,13,24,28,40,7,117,,,
4,8,19,25,27,45,7,128,,,
11,13,15,17,25,34,26,115,,,
15,26,37,42,43,45,9,208,,,
8,11,14,16,18,21,13,88,,,
7,9,15,26,27,42,18,126,,,
16,18,24,42,44,45,17,189,,,
17,20,35,36,41,43,21,192,,,
11,21,24,30,39,45,26,170,,,
