,전국,수도권,서울,국고채3년(평균),국고채5년(평균),국고채10년(평균),회사채3년(평균),CD91물(평균),"콜금리(1일물,평균)",기준금리
201812,100.80 ,107.00 ,119.10 ,1.83,1.89,1.99,2.30,1.91,1.77,1.75 
201901,100.30 ,106.20 ,117.80 ,1.81,1.88,1.99,2.26,1.87,1.75,1.75 
201902,99.90 ,105.60 ,117.10 ,1.80,1.87,1.99,2.25,1.87,1.76,1.75 
201903,99.20 ,104.90 ,116.00 ,1.79,1.84,1.95,2.24,1.90,1.76,1.75 
201904,99.00 ,104.80 ,116.10 ,1.74,1.77,1.89,2.21,1.89,1.75,1.75 
201905,98.80 ,105.00 ,117.20 ,1.68,1.72,1.83,2.15,1.84,1.75,1.75 
201906,99.10 ,105.90 ,119.60 ,1.50,1.53,1.62,2.00,1.80,1.76,1.75 
201907,99.60 ,106.90 ,122.10 ,1.38,1.42,1.51,1.89,1.68,1.63,1.50 
201908,99.90 ,107.70 ,123.80 ,1.16,1.20,1.25,1.69,1.49,1.51,1.50 
201909,100.30 ,108.30 ,125.20 ,1.29,1.35,1.42,1.79,1.54,1.52,1.50 
201910,100.80 ,109.20 ,127.10 ,1.36,1.44,1.58,1.86,1.46,1.35,1.25 
201911,101.70 ,110.30 ,129.40 ,1.49,1.59,1.75,2.00,1.52,1.28,1.25 
201912,102.70 ,111.50 ,131.60 ,1.39,1.48,1.65,1.95,1.53,1.28,1.25 
202001,103.40 ,112.60 ,132.70 ,1.37,1.48,1.66,1.96,1.47,1.27,1.25 
202002,104.70 ,114.70 ,134.50 ,1.25,1.36,1.54,1.85,1.42,1.24,1.25 
202003,105.50 ,116.40 ,135.60 ,1.09,1.27,1.49,1.84,1.23,0.98,0.75 
202004,105.50 ,116.30 ,134.40 ,1.02,1.26,1.50,2.15,1.10,0.74,0.75 
202005,106.30 ,117.40 ,135.10 ,0.88,1.13,1.39,2.18,1.02,0.70,0.50 
202006,108.30 ,120.50 ,140.00 ,0.85,1.13,1.39,2.22,0.79,0.48,0.50 
202007,110.70 ,124.60 ,147.20 ,0.83,1.09,1.36,2.22,0.79,0.48,0.50 
202008,112.10 ,126.90 ,151.90 ,0.83,1.09,1.37,2.19,0.68,0.50,0.50 
202009,113.00 ,128.10 ,153.90 ,0.91,1.19,1.50,2.24,0.63,0.48,0.50 
202010,114.50 ,129.70 ,155.20 ,0.91,1.20,1.51,2.24,0.63,0.51,0.50 
202011,117.10 ,132.30 ,158.00 ,0.97,1.30,1.61,2.25,0.66,0.49,0.50 
202012,120.00 ,135.40 ,161.30 ,0.97,1.32,1.68,2.21,0.66,0.51,0.50 
